ecz,year,cdf_release,cdf_disbursed,cdf_expenditure,cdf_burn_rate,projects_release,projects_expenditure,project_burn_rate,loans_issued,loans_due,loans_recovered,repay_rate
kabushi,2022,25.739911,23.739911,6.270441,0.24360771876794757,11.938162,1.094093,0.09164668732087904,NA,NA,NA,NA
kabushi,2023,28.198221,28.08254,21.756173,0.7715441693999064,15.198297,1.251962,0.08237515032111821,1.658,0.537349,0.122425,0.227831446601743
kabushi,2024,12.7,10,39.70875,0.9827405673549046,22.449657,19.286486,0.8590993617408053,9.3098,2.950295,0.314204,0.10649918059041552
kabwata,2022,25.739911,23.739911,7.185122,0.27914323402283714,11.938162,0.61044,0.05113349944488942,NA,NA,NA,NA
kabwata,2023,28.198221,28.096442,18.991643,0.6735050058654409,15.32445,0.445337,0.02906055355983412,5.05848,2.222935,0.563332,0.25341811613924836
kabwata,2024,24.683047,21.983047,40.045387,0.7306525592087871,31.115556,22.329633,0.7176356739374993,3.825973,2.851744,0.542203,0.19013032025315035
kabwe central,2022,25.7,23.739911,6.0264,0.2344902723735409,11.938162,3.720412,0.31164026757217733,NA,NA,NA,NA
kabwe central,2023,28.198218,28.082534,30.543271,1.0831631630055487,15.216294,0.869419,0.05713736866545822,6.12765,0.61277,0.206617,0.3371852407918142
kabwe central,2024,24.191187,21.491187,27.327603,0.6825377395554199,24.34447,12.952143,0.5320363515821047,3.470434,0.550586,0.04452,0.08085930263392095
kafue,2022,25.739911,23.739911,5.319175,0.20665086992725032,11.938162,1.834781,0.15369040895910108,NA,NA,NA,NA
kafue,2023,28.198221,28.08254,27.119684,0.9617515941874488,15.216296,2.923917,0.192156948050958,1.36,0.213403,0,0
kafue,2024,12.92,10,34.603752,0.9974713384195972,24.770588,17.682766,0.7138613746270375,3.492463,0.875894,0.487592,0.5566792328752109
kafulafuta,2022,25.739911,23.739911,4.460818,0.1733035518265778,11.938162,0.0209,0.00175068825502619,NA,NA,NA,NA
kafulafuta,2023,28.198221,28.08254,19.120538,0.6780760389103979,15.216297,10.073288,0.662006531549693,3.227785,0.078435,0.0781,0.9957289475361764
kafulafuta,2024,21.875495,19.010495,37.761766,0.8865323996004405,25.971254,22.589169,0.8697758298463371,9.037517,4.300217,0.308784,0.07180660882927536
kalabo central,2022,25.739911,23.739911,7.592364,0.29496465624919993,11.938162,1.662889,0.13929187759388756,NA,NA,NA,NA
kalabo central,2023,27.26147,26.209038,24.640029,0.9038408053564244,14.762086,4.55825,0.3087808863869239,6.04,6.493,0.063824,0.00982966271369166
