constit_name_id,year,cdf_release,cdf_expenditure,cdf_disbursed,overall_burn_rate,projects_release,projects_expenditure,project_burn_rate,loans_issued,loans_due,loans_recovered,repay_rate
29,2024,4532761,27789984,1832761,0.8773471179935631,18689840,17974468,0.9617240168990211,NA,NA,NA,NA
30,2022,25739911,7187379,23739911,0.2792309188637055,11938162,1118829,0.09371869807094257,NA,NA,NA,NA
30,2023,27261470,23390290,26222940,0.8579981196905376,14229546,8730829,0.6135704540397845,5407363,5999803,176406,0.029401965364529468
30,2024,11725000,29267502,9000000,0.8937747383653472,19045906,16630567,0.8731832972398372,5297415,1043850,0,0
31,2022,25739911,10849100,23739911,0.42148941385228567,11938162,1660271,0.13907258085457377,NA,NA,NA,NA
31,2023,28198221,32906134,28096442,1.1669578020542501,15324450,18949030,1.236522681075014,5678228,769160,329942,0.4289640646939518
31,2024,28158722,27944709,25348722,0.7916469260436279,20213750,15202195,0.7520719807062025,3296727,270816,111853,0.41302212572373864
32,2022,25739911,4899420,23739911,0.19034331548388025,11938162,2413190,0.20214083206443337,NA,NA,NA,NA
32,2023,27261470,22718916,26222940,0.8333709077316814,14619613,56575,0.003869801478329146,5575169,5853927,40461,0.006911770508925034
32,2024,14906250,28797766,13000000,0.7536075742599183,20682598,16665265,0.8057626512878121,3410000,3129695,0,0
33,2022,25739911,3677565,23739911,0.14287403713245161,11938162,348872,0.02922325899078937,NA,NA,NA,NA
33,2023,28198221,34396365,28082540,1.2198062069234794,15331978,15204836,0.9917073974408259,1025000,202175,71042,0.3513886484481266
33,2024,24711883,35134283,20791883,0.929532313872072,23374096,20639756,0.8830183635764994,4756437,3231471,551951,0.1708048749315714
34,2022,25739911,4173630,23739911,0.1621462482912237,11938162,1125137,0.09424708761700502,NA,NA,NA,NA
34,2023,27261470,30164372,26222940,1.1064836929189805,14332167,1992598,0.13902977826032867,3193800,3353490,155262,0.04629863217126039
34,2024,18565392,26965044,15755392,0.7630475830206583,25877575,17366008,0.6710832834993232,3751600,764855,249990,0.32684626497832925
35,2022,25739911,7542965,23739911,0.29304549654425766,11938162,4492965,0.37635316056190227,NA,NA,NA,NA
35,2023,28198221,32227173,28082540,1.1428796518759108,15269337,13605565,0.8910383600807291,2529000,311168,180056,0.5786456190867956
35,2024,11058382,23105115,8358382,0.9378386354879052,12663446,9640677,0.7612996494003291,3892550,1023886,182694,0.17843197387209123
36,2022,25739911,3979308,23739911,0.15459680493844755,11938162,0,0,NA,NA,NA,NA
36,2023,27311339,28688456,26322678,1.050422903102627,14789090,3504593,0.23697151075556372,1893660,120852,0,0
36,2024,9200000,30135246,6500000,0.9294968728630768,21007044,14987772,0.7134641123234664,6004984,1527352,0,0
37,2022,25739911,6458376,23739911,0.25090902606462,11938162,3027116,0.2535663362584626,NA,NA,NA,NA
37,2023,27261470,26191100,26222940,0.9607368934984064,15324450,13946783,0.9101000688442326,5301254,6421415,366646,0.057097384299254914
37,2024,9250000,27766908,6400000,0.9627768174557386,18432701,17947063,0.9736534542604472,2349618,8496203,1009906,0.11886556853690995
38,2022,25739911,3514525,23739911,0.13653990489710707,11938162,0,0,NA,NA,NA,NA
38,2023,28198221,24504837,28082540,0.8690206733254555,15269337,9913547,0.6492454125545857,5873196,1280554,0,0
38,2024,23435000,43395195,20435000,0.9184834616149506,32084545,31304959,0.9757021332233323,4710320,366893,25206,0.06870122896866389
39,2022,25739911,6270441,23739911,0.24360771876794757,11938162,1094093,0.09164668732087905,NA,NA,NA,NA
39,2023,28198221,21756173,28082540,0.7715441693999064,15198297,1251962,0.08237515032111821,1658000,537349,122425,0.227831446601743
39,2024,12700000,39708750,10000000,0.9827405673549046,22449657,19286486,0.8590993617408053,9309800,2950295,314204,0.10649918059041553
40,2022,25739911,7185122,23739911,0.27914323402283714,11938162,610440,0.05113349944488942,NA,NA,NA,NA
40,2023,28198221,18991643,28096442,0.6735050058654409,15324450,445337,0.029060553559834123,5058480,2222935,563332,0.25341811613924836
40,2024,24683047,40045387,21983047,0.7306525592087871,31115556,22329633,0.7176356739374993,3825973,2851744,542203,0.19013032025315035
41,2022,25700000,6026400,23739911,0.23449027237354086,11938162,3720412,0.31164026757217733,NA,NA,NA,NA
41,2023,28198218,30543271,28082534,1.0831631630055487,15216294,869419,0.057137368665458224,6127650,612770,206617,0.3371852407918142
41,2024,24191187,27327603,21491187,0.6825377395554199,24344470,12952143,0.5320363515821047,3470434,550586,44520,0.08085930263392095
42,2022,25739911,5319175,23739911,0.20665086992725032,11938162,1834781,0.15369040895910108,NA,NA,NA,NA
42,2023,28198221,27119684,28082540,0.9617515941874489,15216296,2923917,0.192156948050958,1360000,213403,0,0
42,2024,12920000,34603752,10000000,0.9974713384195973,24770588,17682766,0.7138613746270375,3492463,875894,487592,0.5566792328752109
43,2022,25739911,4460818,23739911,0.1733035518265778,11938162,20900,0.0017506882550261925,NA,NA,NA,NA
43,2023,28198221,19120538,28082540,0.6780760389103979,15216297,10073288,0.662006531549693,3227785,78435,78100,0.9957289475361765
43,2024,21875495,37761766,19010495,0.8865323996004405,25971254,22589169,0.8697758298463371,9037517,4300217,308784,0.07180660882927536
44,2022,25739911,7592364,23739911,0.29496465624919993,11938162,1662889,0.13929187759388756,NA,NA,NA,NA
44,2023,27261470,24640029,26209038,0.9038408053564243,14762086,4558250,0.3087808863869239,6040000,6493000,63824,0.009829662713691668
44,2024,10096215,29122553,7286215,0.9836226327533497,19092222,17957663,0.9405748058031171,2158910,6348967,757080,0.11924459522312843
45,2022,25739911,5820320,23739911,0.2261204399657792,11938162,1978737,0.165748881611759,NA,NA,NA,NA
45,2023,27261470,25996161,26222940,0.9535861785883153,14619613,1711343,0.1170580233553378,5698000,5982900,0,0
45,2024,14906250,24015969,13000000,0.6948880323465936,23551292,13550863,0.5753766290189091,NA,NA,NA,NA
46,2022,25739911,4681486,23739911,0.18187654184196675,11938162,0,0,NA,NA,NA,NA
46,2023,28198218,26013726,28082534,0.9225308492898381,15216297,6170274,0.40550430896557815,3838652,1283234,499599,0.38932805708078183
46,2024,20112560,37141884,17412560,0.8872862274816256,21334335,18544730,0.869243405055747,5034154,4299897,1102457,0.25639149030779107
47,2022,25739911,8854024,23739911,0.34398036574407737,11938162,3851706,0.32263810794324954,NA,NA,NA,NA
47,2023,28198218,23484301,28082534,0.8328292589269294,15216297,5043777,0.33147203948503373,6151359,652437,136293,0.2088983304135112
47,2024,18191165,38481637,15234990,0.9387622497407292,27125164,21617431,0.7969511631339814,3789020,5468961,870702,0.15920793730289903
48,2022,25739911,9020111,23739911,0.3504328744571028,11938162,3652334,0.3059377147001356,NA,NA,NA,NA
48,2023,27261470,30815180,26222940,1.1303565068207988,14337847,3792600,0.2645167018451236,6162713,618646,0,0
48,2024,21693739,31346014,18693739,0.9642257221077241,20687813,19814698,0.9577956838646985,3977499,541802,221159,0.408191553371896
49,2022,26538440,6587868,23739911,0.24823870581692067,11938162,68099,0.005704311936795631,NA,NA,NA,NA
49,2023,28198221,29431467,28082540,1.0437348866795533,15216297,5401267,0.3549659289641889,0,0,0,NA
49,2024,24640082,35841182,21940082,0.8506819293845731,22627680,20945956,0.9256784610706886,6530625,3664903,828197,0.22598060576228074
50,2022,26298325,5341916,23739911,0.2031276136407927,11938162,864998,0.07245654733115534,NA,NA,NA,NA
50,2023,28198221,26179307,28082540,0.9284027882468189,15216297,7119405,0.46788026022362733,0,0,0,NA
50,2024,25734306,38898532,23034306,0.84156179253542,22763919,20176453,0.8863347739025077,8166838,3664898,718101,0.19594024172023342
51,2022,25739911,6931926,23739911,0.26930652557423373,11938162,2627609,0.22010163708617791,NA,NA,NA,NA
51,2023,28198221,23279769,28096442,0.8255758049417373,15325000,5299963,0.3458377161500816,5731900,1791462,274284,0.15310623390281233
51,2024,7700000,29779170,5000000,0.8271364421531368,18115384,15026060,0.8294640621473991,6247275,2124499,304519,0.14333685259442344
52,2022,25739911,6809881,23739911,0.26456505618842274,11938162,533351,0.044676140263467695,NA,NA,NA,NA
52,2023,27261470,21714449,26209038,0.7965252424025557,14762086,4161760,0.2819222161420818,2350000,2526250,0,0
52,2024,13686451,38178270,10876451,0.9907478692181578,22095869,23350674,1.0567891219847474,3500000,3565254,2887413,0.8098758181044043
53,2022,25700000,4829668,23739911,0.18792482490272375,12855162,0,0,NA,NA,NA,NA
53,2023,27261470,19757335,26209038,0.7247347630190155,14279547,0,0,2754588,276506,0,0
53,2024,12775000,33253585,10000000,0.8404641662440367,18948104,16942426,0.8941488815978633,6246465,2071911,510131,0.24621279581989766
54,2022,25739911,3534952,23739911,0.1373334973846646,11938162,1458310,0.12215532005680606,NA,NA,NA,NA
54,2023,28198221,24517636,28082540,0.8694745672076263,14925068,8822508,0.5911201208597509,6000371,0,0,NA
54,2024,13560726,31309404,11453232,0.815793755075032,21543740,14768226,0.6854996393383879,8891706,849027,203050,0.239156116354368
55,2022,25739911,5687380,23739911,0.22095569794316694,11938162,550548,0.04611664676689762,NA,NA,NA,NA
55,2023,28198221,20185624,28096442,0.7158474288147468,28796683,8629769,0.299679272088386,656625,131325,0,0
55,2024,12775000,38821416,10000000,0.9519085953916652,25741769,25855333,1.0044116626172817,3342165,2615107,1520311,0.5813570916983511
56,2022,25734783,4730663,23739911,0.18382369884370114,12855162,1006540,0.07829850763452068,NA,NA,NA,NA
56,2023,28198221,26516730,28086457,0.9403688977400383,57356344,25762868,0.4491720741475433,1701329,340266,0,0
56,2024,11405001,32860367,10000001,0.9828331827096989,19672342,18869496,0.9591890990915063,3969879,709341,146850,0.2070231383777337
57,2022,25700000,7476138,23739911,0.2909003112840467,11938162,3985354,0.33383313109672996,NA,NA,NA,NA
57,2023,25279671,30868752,22245440,1.221089942191099,13688942,7341567,0.536313690276429,2245000,NA,87165.22,NA
57,2024,26098211,28469443,23098211,0.8782317834444733,17981176,15122107,0.8409965510598417,3182400,3455145,528292,0.1529000953650281
58,2022,25739911,8265465,23739911,0.3211147466671505,11938162,1767545,0.14805838620719003,NA,NA,NA,NA
58,2023,27261470,31403088,26222940,1.1519220350186545,14762086,20366216,1.3796299520271051,4659260,0,0,NA
58,2024,25499735,35498759,23434134,0.8884615197868299,23977931,21045095,0.8776860272056,NA,NA,NA,NA
59,2022,25739911,7544168,23739911,0.29309223330259376,11938162,87263,0.007309584172169887,NA,NA,NA,NA
59,2023,27261470,20891942,26209038,0.7663541988014586,14279546,9997331,0.7001154658558473,5913885,2464688,1085082,0.4402512610115357
59,2024,10700000,32474652,8000000,0.9009349599551967,26356197,21184706,0.8037846279567572,7520885,1802878,0,0
60,2022,25739911,13238228,23739911,0.5143074504026063,11938162,3025956,0.2534691688720592,NA,NA,NA,NA
60,2023,27261470,22337721,26209038,0.8193879860477076,14279546,5760000,0.4033741688986471,5456720,516869,358473,0.6935471076810565
60,2024,15328485,33205893,12498485,0.933648728759184,22081537,20319090,0.9201845867885012,3846092,522853,0,0
61,2022,25739911,2808508,23739911,0.10911102217874802,11938162,235450,0.019722466490235263,NA,NA,NA,NA
61,2023,27261470,23379183,26209038,0.8575906948524786,14762086,6749976,0.4572508248495504,4916500,1386595,210042,0.1514804250700457
61,2024,2725000,34637280,0,0.9258470582093733,24222360,23109288,0.9540477476183163,4087245,4750392,381145,0.08023443117957424
62,2022,25739911,2542458,23739911,0.09877493360408278,12855162,1314505,0.10225503186968783,NA,NA,NA,NA
62,2023,28198221,26567109,28082540,0.942155499809722,15331978,1541817,0.10056217143019641,NA,NA,NA,NA
62,2024,22909431,38866240,20171931,0.8297869337824252,25910439,18305227,0.706480774023165,6027429,4691920,655829,0.13977838496820066
63,2022,25739911,4666208,23739911,0.18128298889611547,11938162,1341516,0.11237207201577597,NA,NA,NA,NA
63,2023,27261470,24313246,26209038,0.8918538141927049,14289546,0,0,4774750,527113,138084,0.26196280493935836
63,2024,9590007,31121818,6760007,0.9865950425290508,16266795,15542413,0.9554686709951161,6823629,1071702,69887,0.06521122476210738
64,2022,25739911,5769140,23739911,0.22413208810240254,11938162,1439186,0.12055339842096296,NA,NA,NA,NA
64,2023,28198218,22583430,28082534,0.8008814599560866,15216297,4432251,0.29128315515923486,6072296,773192,275245,0.35598531800639427
64,2024,9077583,22574247,6121408,0.6582867491832453,21834899,14474384,0.6629013488910573,3492463,3954538,489214,0.12370952055587783
65,2022,25739911,9167474,23739911,0.3561579525274971,11938162,2270586,0.19019560967592833,NA,NA,NA,NA
65,2023,27261470,18479103,26209038,0.6778469026064992,15269337,5545261,0.3631631812173639,3766941,4049462,10386,0.0025647851492371083
65,2024,14189875,38643652,11379875,0.9331874826372052,27534029,26765977,0.9721053537061358,5381189,6348866,927172,0.14603741833580988
66,2022,25739911,12617356,23739911,0.49018646567969876,11938162,7170926,0.6006725323378925,NA,NA,NA,NA
66,2023,28198221,25063425,28082540,0.8888300081058305,15222080,4150469,0.2726610949357775,4725407,4961677,235035,0.04737007265890142
66,2024,20700000,36937882,18000000,0.9087542879535104,20847382,21158398,1.0149187077782715,7757855,2653204,0,0
67,2022,25739911,4597995,23739911,0.17863290203295576,11938162,0,0,NA,NA,NA,NA
67,2023,27473155,31498327,26632408,1.146512914152015,14473231,5086817,0.3514638161997138,5648452,6072086,26116,0.004300993101876357
67,2024,22143111,28000121,19333111,0.7600100972333717,24570414,14677030,0.5973456531908661,3746491,2894085,371036,0.1282049421492458
68,2022,25739911,5453430,23739911,0.21186669992759494,11938162,0,0,NA,NA,NA,NA
68,2023,27261470,21467660,26209038,0.7874725757635227,14756728,15922519,1.07900064296096,5940785,553360,154736,0.27962989735434435
68,2024,16100000,35946798,16000000,0.9452281801327314,24727472,22913005,0.9266214111980392,3182029,485920,0,0
